"Species","Fmulti","Unit","value","F"
"sprat",0,"Biomass",5925509735316.69,0
"sprat",0,"FBiomass",7433804004542.65,0
"sprat",0,"SSB",4273017608647.77,0
"sprat",0,"Yield",0,0
"herring",0,"Biomass",174340295451.364,0
"herring",0,"FBiomass",7433804004542.65,0
"herring",0,"SSB",74103364728.8074,0
"herring",0,"Yield",0,0
"cod",0,"Biomass",1333953973774.59,0
"cod",0,"FBiomass",7433804004542.65,0
"cod",0,"SSB",1080660113567.67,0
"cod",0,"Yield",0,0
"sprat",0.0886075949367089,"Biomass",5708696822757.76,0.00687267491782561
"sprat",0.0886075949367089,"FBiomass",7263906976411.14,0.00687267491782561
"sprat",0.0886075949367089,"SSB",4019758836078.76,0.00687267491782561
"sprat",0.0886075949367089,"Yield",98978492342.9803,0.00687267491782561
"herring",0.0886075949367089,"Biomass",264006059478.694,0.00687267491782561
"herring",0.0886075949367089,"FBiomass",7263906976411.14,0.00687267491782561
"herring",0.0886075949367089,"SSB",119392368571.432,0.00687267491782561
"herring",0.0886075949367089,"Yield",3742460097.35499,0.00687267491782561
"cod",0.0886075949367089,"Biomass",1291204094174.69,0.00687267491782561
"cod",0.0886075949367089,"FBiomass",7263906976411.14,0.00687267491782561
"cod",0.0886075949367089,"SSB",1000469096194.36,0.00687267491782561
"cod",0.0886075949367089,"Yield",47046461406.2626,0.00687267491782561
"sprat",0.177215189873418,"Biomass",5505566390797.34,0.0136119894428822
"sprat",0.177215189873418,"FBiomass",7111973957388.08,0.0136119894428822
"sprat",0.177215189873418,"SSB",3784720653310.28,0.0136119894428822
"sprat",0.177215189873418,"Yield",189655941885.193,0.0136119894428822
"herring",0.177215189873418,"Biomass",349744908464.671,0.0136119894428822
"herring",0.177215189873418,"FBiomass",7111973957388.08,0.0136119894428822
"herring",0.177215189873418,"SSB",165316265073.422,0.0136119894428822
"herring",0.177215189873418,"Yield",10116434551.5953,0.0136119894428822
"cod",0.177215189873418,"Biomass",1256662658126.07,0.0136119894428822
"cod",0.177215189873418,"FBiomass",7111973957388.08,0.0136119894428822
"cod",0.177215189873418,"SSB",931644745268.063,0.0136119894428822
"cod",0.177215189873418,"Yield",90651966841.2711,0.0136119894428822
"sprat",0.265822784810127,"Biomass",5314273247485.33,0.0202257802622739
"sprat",0.265822784810127,"FBiomass",6973617722207.87,0.0202257802622739
"sprat",0.265822784810127,"SSB",3566354026671.5,0.0202257802622739
"sprat",0.265822784810127,"Yield",272733230060.023,0.0202257802622739
"herring",0.265822784810127,"Biomass",431936363775.875,0.0202257802622739
"herring",0.265822784810127,"FBiomass",6973617722207.87,0.0202257802622739
"herring",0.265822784810127,"SSB",210768712666.738,0.0202257802622739
"herring",0.265822784810127,"Yield",19016141710.9752,0.0202257802622739
"cod",0.265822784810127,"Biomass",1227408110946.66,0.0202257802622739
"cod",0.265822784810127,"FBiomass",6973617722207.87,0.0202257802622739
"cod",0.265822784810127,"SSB",870710065450.528,0.0202257802622739
"cod",0.265822784810127,"Yield",131391207276.428,0.0202257802622739
"sprat",0.354430379746835,"Biomass",5133735051841.9,0.0267175876730839
"sprat",0.354430379746835,"FBiomass",6845929878891.93,0.0267175876730839
"sprat",0.354430379746835,"SSB",3363607411083.76,0.0267175876730839
"sprat",0.354430379746835,"Yield",348843540233.988,0.0267175876730839
"herring",0.354430379746835,"Biomass",510442674029.568,0.0267175876730839
"herring",0.354430379746835,"FBiomass",6845929878891.93,0.0267175876730839
"herring",0.354430379746835,"SSB",254825330230.082,0.0267175876730839
"herring",0.354430379746835,"Yield",30284154117.1098,0.0267175876730839
"cod",0.354430379746835,"Biomass",1201752153020.46,0.0267175876730839
"cod",0.354430379746835,"FBiomass",6845929878891.93,0.0267175876730839
"cod",0.354430379746835,"SSB",815646247290.31,0.0267175876730839
"cod",0.354430379746835,"Yield",169592500878.142,0.0267175876730839
"sprat",0.443037974683544,"Biomass",4963166726603.92,0.0330894189022845
"sprat",0.443037974683544,"FBiomass",6726849668135.77,0.0330894189022845
"sprat",0.443037974683544,"SSB",3175554137517.77,0.0330894189022845
"sprat",0.443037974683544,"Yield",418577365710.624,0.0330894189022845
"herring",0.443037974683544,"Biomass",585014238988.528,0.0330894189022845
"herring",0.443037974683544,"FBiomass",6726849668135.77,0.0330894189022845
"herring",0.443037974683544,"SSB",296780048626.844,0.0330894189022845
"herring",0.443037974683544,"Yield",43721953579.8849,0.0330894189022845
"cod",0.443037974683544,"Biomass",1178668702543.32,0.0330894189022845
"cod",0.443037974683544,"FBiomass",6726849668135.77,0.0330894189022845
"cod",0.443037974683544,"SSB",765211992605.232,0.0330894189022845
"cod",0.443037974683544,"Yield",205463320394.405,0.0330894189022845
"sprat",0.531645569620253,"Biomass",4801897482332.12,0.0393429107022386
"sprat",0.531645569620253,"FBiomass",6614854165872.14,0.0393429107022386
"sprat",0.531645569620253,"SSB",3001270495372.06,0.0393429107022386
"sprat",0.531645569620253,"Yield",482486088463.775,0.0393429107022386
"herring",0.531645569620253,"Biomass",655445917227.35,0.0393429107022386
"herring",0.531645569620253,"FBiomass",6614854165872.14,0.0393429107022386
"herring",0.531645569620253,"SSB",336139118390.087,0.0393429107022386
"herring",0.531645569620253,"Yield",59106285218.3302,0.0393429107022386
"cod",0.531645569620253,"Biomass",1157510766312.67,0.0393429107022386
"cod",0.531645569620253,"FBiomass",6614854165872.14,0.0393429107022386
"cod",0.531645569620253,"SSB",718606213984.279,0.0393429107022386
"cod",0.531645569620253,"Yield",239150476586.611,0.0393429107022386
"sprat",0.620253164556962,"Biomass",4649298845441.4,0.0454797777553849
"sprat",0.620253164556962,"FBiomass",6508786478264.75,0.0454797777553849
"sprat",0.620253164556962,"SSB",2839809139077.82,0.0454797777553849
"sprat",0.620253164556962,"Yield",541079670504.106,0.0454797777553849
"herring",0.620253164556962,"Biomass",721630938163.002,0.0454797777553849
"herring",0.620253164556962,"FBiomass",6508786478264.75,0.0454797777553849
"herring",0.620253164556962,"SSB",372596222966.278,0.0454797777553849
"herring",0.620253164556962,"Yield",76204845514.3643,0.0454797777553849
"cod",0.620253164556962,"Biomass",1137856694660.34,0.0454797777553849
"cod",0.620253164556962,"FBiomass",6508786478264.75,0.0454797777553849
"cod",0.620253164556962,"SSB",675286718782.887,0.0454797777553849
"cod",0.620253164556962,"Yield",270769971447.734,0.0454797777553849
"sprat",0.708860759493671,"Biomass",4504760753798.47,0.0515019330325307
"sprat",0.708860759493671,"FBiomass",6407750594982.73,0.0515019330325307
"sprat",0.708860759493671,"SSB",2690209363338.2,0.0515019330325307
"sprat",0.708860759493671,"Yield",594824055820.896,0.0515019330325307
"herring",0.708860759493671,"Biomass",783568310483.235,0.0515019330325307
"herring",0.708860759493671,"FBiomass",6407750594982.73,0.0515019330325307
"herring",0.708860759493671,"SSB",405999801009.734,0.0515019330325307
"herring",0.708860759493671,"Yield",94788908858.8222,0.0515019330325307
"cod",0.708860759493671,"Biomass",1119421530701.02,0.0515019330325307
"cod",0.708860759493671,"FBiomass",6407750594982.73,0.0515019330325307
"cod",0.708860759493671,"SSB",634867538104.65,0.0515019330325307
"cod",0.708860759493671,"Yield",300421661416.159,0.0515019330325307
"sprat",0.79746835443038,"Biomass",4367687893227.76,0.0574114663589421
"sprat",0.79746835443038,"FBiomass",6311041991723.83,0.0574114663589421
"sprat",0.79746835443038,"SSB",2551518289357.43,0.0574114663589421
"sprat",0.79746835443038,"Yield",644140057070.379,0.0574114663589421
"herring",0.79746835443038,"Biomass",841349986853.486,0.0574114663589421
"herring",0.79746835443038,"FBiomass",6311041991723.83,0.0574114663589421
"herring",0.79746835443038,"SSB",436319307473.153,0.0574114663589421
"herring",0.79746835443038,"Yield",114642347819.955,0.0574114663589421
"cod",0.79746835443038,"Biomass",1102004111642.59,0.0574114663589421
"cod",0.79746835443038,"FBiomass",6311041991723.83,0.0574114663589421
"cod",0.79746835443038,"SSB",597059020442.4,0.0574114663589421
"cod",0.79746835443038,"Yield",328196120102.838,0.0574114663589421
"sprat",0.886075949367089,"Biomass",4237503558952.98,0.0632105735602003
"sprat",0.886075949367089,"FBiomass",6218099347189.72,0.0632105735602003
"sprat",0.886075949367089,"SSB",2422811784318.74,0.0632105735602003
"sprat",0.886075949367089,"Yield",689403980499,0.0632105735602003
"herring",0.886075949367089,"Biomass",895140829829.001,0.0632105735602003
"herring",0.886075949367089,"FBiomass",6218099347189.72,0.0632105735602003
"herring",0.886075949367089,"SSB",463614154384.204,0.0632105735602003
"herring",0.886075949367089,"Yield",135567346776.245,0.0632105735602003
"cod",0.886075949367089,"Biomass",1085454958407.74,0.0632105735602003
"cod",0.886075949367089,"FBiomass",6218099347189.72,0.0632105735602003
"cod",0.886075949367089,"SSB",561632304215.137,0.0632105735602003
"cod",0.886075949367089,"Yield",354177551295.263,0.0632105735602003
"sprat",0.974683544303797,"Biomass",4113655300988.38,0.068901480377339
"sprat",0.974683544303797,"FBiomass",6128469793978.12,0.068901480377339
"sprat",0.974683544303797,"SSB",2303210925898.26,0.068901480377339
"sprat",0.974683544303797,"Yield",730949683007.174,0.068901480377339
"herring",0.974683544303797,"Biomass",945157819734.492,0.068901480377339
"herring",0.974683544303797,"FBiomass",6128469793978.12,0.068901480377339
"herring",0.974683544303797,"SSB",488007079638.206,0.068901480377339
"herring",0.974683544303797,"Yield",157387434464.197,0.068901480377339
"cod",0.974683544303797,"Biomass",1069656673255.25,0.068901480377339
"cod",0.974683544303797,"FBiomass",6128469793978.12,0.068901480377339
"cod",0.974683544303797,"SSB",528398072479.918,0.068901480377339
"cod",0.974683544303797,"Yield",378444806287.324,0.068901480377339
"sprat",1.06329113924051,"Biomass",3995619931247.16,0.0744863799358694
"sprat",1.06329113924051,"FBiomass",6041783394408.39,0.0744863799358694
"sprat",1.06329113924051,"SSB",2191893078533.28,0.0744863799358694
"sprat",1.06329113924051,"Yield",769071608630.199,0.0744863799358694
"herring",1.06329113924051,"Biomass",991651460814.447,0.0744863799358694
"herring",1.06329113924051,"FBiomass",6041783394408.39,0.0744863799358694
"herring",1.06329113924051,"SSB",509662449011.031,0.0744863799358694
"herring",1.06329113924051,"Yield",179948519797.004,0.0744863799358694
"cod",1.06329113924051,"Biomass",1054512002346.78,0.0744863799358694
"cod",1.06329113924051,"FBiomass",6041783394408.39,0.0744863799358694
"cod",1.06329113924051,"SSB",497193790766.495,0.0744863799358694
"cod",1.06329113924051,"Yield",401071591791.185,0.0744863799358694
"sprat",1.15189873417722,"Biomass",3882907048788.2,0.0799673894390613
"sprat",1.15189873417722,"FBiomass",5957734164236.48,0.0799673894390613
"sprat",1.15189873417722,"SSB",2088098055786.85,0.0799673894390613
"sprat",1.15189873417722,"Yield",804028375509.684,0.0799673894390613
"herring",1.15189873417722,"Biomass",1034890485015.48,0.0799673894390613
"herring",1.15189873417722,"FBiomass",5957734164236.48,0.0799673894390613
"herring",1.15189873417722,"SSB",528769286636.733,0.0799673894390613
"herring",1.15189873417722,"Yield",203118547636.923,0.0799673894390613
"cod",1.15189873417722,"Biomass",1039936630432.79,0.0799673894390613
"cod",1.15189873417722,"FBiomass",5957734164236.48,0.0799673894390613
"cod",1.15189873417722,"SSB",467876007001.274,0.0799673894390613
"cod",1.15189873417722,"Yield",422126421111.088,0.0799673894390613
"sprat",1.24050632911392,"Biomass",3775060968747.4,0.0853465254402793
"sprat",1.24050632911392,"FBiomass",5876065856930.1,0.0853465254402793
"sprat",1.24050632911392,"SSB",1991130341426.34,0.0853465254402793
"sprat",1.24050632911392,"Yield",836046568904.256,0.0853465254402793
"herring",1.24050632911392,"Biomass",1075149992123.88,0.0853465254402793
"herring",1.24050632911392,"FBiomass",5876065856930.1,0.0853465254402793
"herring",1.24050632911392,"SSB",545528475541.248,0.0853465254402793
"herring",1.24050632911392,"Yield",226786275541.678,0.0853465254402793
"cod",1.24050632911392,"Biomass",1025854896058.82,0.0853465254402793
"cod",1.24050632911392,"FBiomass",5876065856930.1,0.0853465254402793
"cod",1.24050632911392,"SSB",440315667158.063,0.0853465254402793
"cod",1.24050632911392,"Yield",441672567995.789,0.0853465254402793
"sprat",1.32911392405063,"Biomass",3671661248852.85,0.0906256944453483
"sprat",1.32911392405063,"FBiomass",5796561253555.66,0.0906256944453483
"sprat",1.32911392405063,"SSB",1900358409794.04,0.0906256944453483
"sprat",1.32911392405063,"Yield",865324491091.862,0.0906256944453483
"herring",1.32911392405063,"Biomass",1112702707004.6,0.0906256944453483
"herring",1.32911392405063,"FBiomass",5796561253555.66,0.0906256944453483
"herring",1.32911392405063,"SSB",560143439257.732,0.0906256944453483
"herring",1.32911392405063,"Yield",250859550463.01,0.0906256944453483
"cod",1.32911392405063,"Biomass",1012197297698.2,0.0906256944453483
"cod",1.32911392405063,"FBiomass",5796561253555.66,0.0906256944453483
"cod",1.32911392405063,"SSB",414395216727.219,0.0906256944453483
"cod",1.32911392405063,"Yield",459768125440.568,0.0906256944453483
"sprat",1.41772151898734,"Biomass",3572322109918.29,0.0958066949240388
"sprat",1.41772151898734,"FBiomass",5719034050276.94,0.0958066949240388
"sprat",1.41772151898734,"SSB",1815212068983.57,0.0958066949240388
"sprat",1.41772151898734,"Yield",892035704198.343,0.0958066949240388
"herring",1.41772151898734,"Biomass",1147812855363.7,0.0958066949240388
"herring",1.41772151898734,"FBiomass",5719034050276.94,0.0958066949240388
"herring",1.41772151898734,"SSB",572813614161.527,0.0958066949240388
"herring",1.41772151898734,"Yield",275263355607.959,0.0958066949240388
"cod",1.41772151898734,"Biomass",998899084994.952,0.0958066949240388
"cod",1.41772151898734,"FBiomass",5719034050276.94,0.0958066949240388
"cod",1.41772151898734,"SSB",390006750265.35,0.0958066949240388
"cod",1.41772151898734,"Yield",476466191738.917,0.0958066949240388
"sprat",1.50632911392405,"Biomass",3476691052343.55,0.100891227059442
"sprat",1.50632911392405,"FBiomass",5643322676443.44,0.100891227059442
"sprat",1.50632911392405,"SSB",1735178572019.23,0.100891227059442
"sprat",1.50632911392405,"Yield",916332270073.987,0.100891227059442
"herring",1.50632911392405,"Biomass",1180732128549.54,0.100891227059442
"herring",1.50632911392405,"FBiomass",5643322676443.44,0.100891227059442
"herring",1.50632911392405,"SSB",583730087585.821,0.100891227059442
"herring",1.50632911392405,"Yield",299937809360.364,0.100891227059442
"cod",1.50632911392405,"Biomass",985899495550.353,0.100891227059442
"cod",1.50632911392405,"FBiomass",5643322676443.44,0.100891227059442
"cod",1.50632911392405,"SSB",367050769763.003,0.100891227059442
"cod",1.50632911392405,"Yield",491815169121.916,0.100891227059442
"sprat",1.59493670886076,"Biomass",3384446934748.4,0.105880907179175
"sprat",1.59493670886076,"FBiomass",5569285550200.72,0.105880907179175
"sprat",1.59493670886076,"SSB",1659798060439.66,0.105880907179175
"sprat",1.59493670886076,"Yield",938347641768.123,0.105880907179175
"herring",1.59493670886076,"Biomass",1211697249822.55,0.105880907179175
"herring",1.59493670886076,"FBiomass",5569285550200.72,0.105880907179175
"herring",1.59493670886076,"SSB",593072870035.851,0.105880907179175
"herring",1.59493670886076,"Yield",324836230892.132,0.105880907179175
"cod",1.59493670886076,"Biomass",973141365629.772,0.105880907179175
"cod",1.59493670886076,"FBiomass",5569285550200.72,0.105880907179175
"cod",1.59493670886076,"SSB",345435293480.158,0.105880907179175
"cod",1.59493670886076,"Yield",505859146525.118,0.105880907179175
"sprat",1.68354430379747,"Biomass",3295297731343.27,0.110777284505242
"sprat",1.68354430379747,"FBiomass",5496797406662.17,0.110777284505242
"sprat",1.68354430379747,"SSB",1588658746425.43,0.110777284505242
"sprat",1.68354430379747,"Yield",958199196175.53,0.110777284505242
"herring",1.68354430379747,"Biomass",1240928726354.58,0.110777284505242
"herring",1.68354430379747,"FBiomass",5496797406662.17,0.110777284505242
"herring",1.68354430379747,"SSB",601009368173.722,0.110777284505242
"herring",1.68354430379747,"Yield",349923338394.963,0.110777284505242
"cod",1.68354430379747,"Biomass",960570948964.313,0.110777284505242
"cod",1.68354430379747,"FBiomass",5496797406662.17,0.110777284505242
"cod",1.68354430379747,"SSB",325075165924.921,0.110777284505242
"cod",1.68354430379747,"Yield",518638335985.982,0.110777284505242
"sprat",1.77215189873418,"Biomass",3208978134913.19,0.115581858495528
"sprat",1.77215189873418,"FBiomass",5425746428722.29,0.115581858495528
"sprat",1.77215189873418,"SSB",1521392111640.78,0.115581858495528
"sprat",1.77215189873418,"Yield",975990420166.18,0.115581858495528
"herring",1.77215189873418,"Biomass",1268630449697.5,0.115581858495528
"herring",1.77215189873418,"FBiomass",5425746428722.29,0.115581858495528
"herring",1.77215189873418,"SSB",607693716666.784,0.115581858495528
"herring",1.77215189873418,"Yield",375173612202.096,0.115581858495528
"cod",1.77215189873418,"Biomass",948137844111.609,0.115581858495528
"cod",1.77215189873418,"FBiomass",5425746428722.29,0.115581858495528
"cod",1.77215189873418,"SSB",305891484664.234,0.115581858495528
"cod",1.77215189873418,"Yield",530189535503.308,0.115581858495528
"sprat",1.86075949367089,"Biomass",3125247128216.31,0.120296095578627
"sprat",1.86075949367089,"FBiomass",5356031981138.75,0.120296095578627
"sprat",1.86075949367089,"SSB",1457668302778.47,0.120296095578627
"sprat",1.86075949367089,"Yield",991812776037.405,0.120296095578627
"herring",1.86075949367089,"Biomass",1294989880914.64,0.120296095578627
"herring",1.86075949367089,"FBiomass",5356031981138.75,0.120296095578627
"herring",1.86075949367089,"SSB",613266706111.046,0.120296095578627
"herring",1.86075949367089,"Yield",400569832894.904,0.120296095578627
"cod",1.86075949367089,"Biomass",935794972007.806,0.120296095578627
"cod",1.86075949367089,"FBiomass",5356031981138.75,0.120296095578627
"cod",1.86075949367089,"SSB",287811097825.165,0.120296095578627
"cod",1.86075949367089,"Yield",540546596443.445,0.120296095578627
"sprat",1.94936708860759,"Biomass",3043885610153.49,0.124921444497221
"sprat",1.94936708860759,"FBiomass",5287562800739.13,0.124921444497221
"sprat",1.94936708860759,"SSB",1397191831463.39,0.124921444497221
"sprat",1.94936708860759,"Yield",1005747279101.01,0.124921444497221
"herring",1.94936708860759,"Biomass",1320178620002.83,0.124921444497221
"herring",1.94936708860759,"FBiomass",5287562800739.13,0.124921444497221
"herring",1.94936708860759,"SSB",617856109574.741,0.124921444497221
"herring",1.94936708860759,"Yield",426101790697.539,0.124921444497221
"cod",1.94936708860759,"Biomass",923498570582.814,0.124921444497221
"cod",1.94936708860759,"FBiomass",5287562800739.13,0.124921444497221
"cod",1.94936708860759,"SSB",270766148072.018,0.124921444497221
"cod",1.94936708860759,"Yield",549740879015.77,0.124921444497221
"sprat",2.0379746835443,"Biomass",2964694134294.46,0.129459349784788
"sprat",2.0379746835443,"FBiomass",5220255534135.47,0.129459349784788
"sprat",2.0379746835443,"SSB",1339697634747.88,0.129459349784788
"sprat",2.0379746835443,"Yield",1017865822748.84,0.129459349784788
"herring",2.0379746835443,"Biomass",1344353211325.23,0.129459349784788
"herring",2.0379746835443,"FBiomass",5220255534135.47,0.129459349784788
"herring",2.0379746835443,"SSB",621577262470.54,0.129459349784788
"herring",2.0379746835443,"Yield",451765154556.495,0.129459349784788
"cod",2.0379746835443,"Biomass",911208188515.781,0.129459349784788
"cod",2.0379746835443,"FBiomass",5220255534135.47,0.129459349784788
"cod",2.0379746835443,"SSB",254693651057.817,0.129459349784788
"cod",2.0379746835443,"Yield",557801684173.53,0.129459349784788
"sprat",2.12658227848101,"Biomass",2887490795423.41,0.133911263124524
"sprat",2.12658227848101,"FBiomass",5154033542651.14,0.133911263124524
"sprat",2.12658227848101,"SSB",1284947517144.71,0.133911263124524
"sprat",2.12658227848101,"Yield",1028232286016.03,0.133911263124524
"herring",2.12658227848101,"Biomass",1367656078070.48,0.133911263124524
"herring",2.12658227848101,"FBiomass",5154033542651.14,0.133911263124524
"herring",2.12658227848101,"SSB",624533791049.061,0.133911263124524
"herring",2.12658227848101,"Yield",477560485375.233,0.133911263124524
"cod",2.12658227848101,"Biomass",898886669157.249,0.133911263124524
"cod",2.12658227848101,"FBiomass",5154033542651.14,0.133911263124524
"cod",2.12658227848101,"SSB",239535102851.026,0.133911263124524
"cod",2.12658227848101,"Yield",564756654256.476,0.133911263124524
"sprat",2.21518987341772,"Biomass",2812109283569.44,0.138278652496952
"sprat",2.21518987341772,"FBiomass",5088825914929.55,0.138278652496952
"sprat",2.21518987341772,"SSB",1232726971885.14,0.138278652496952
"sprat",2.21518987341772,"Yield",1036903456626.72,0.138278652496952
"herring",2.21518987341772,"Biomass",1390216510612.52,0.138278652496952
"herring",2.21518987341772,"FBiomass",5088825914929.55,0.138278652496952
"herring",2.21518987341772,"SSB",626818415718.519,0.138278652496952
"herring",2.21518987341772,"Yield",503492376527.095,0.138278652496952
"cod",2.21518987341772,"Biomass",886500120747.59,0.138278652496952
"cod",2.21518987341772,"FBiomass",5088825914929.55,0.138278652496952
"cod",2.21518987341772,"SSB",225236114062.15,0.138278652496952
"cod",2.21518987341772,"Yield",570632137770.265,0.138278652496952
"sprat",2.30379746835443,"Biomass",2738397113373.34,0.142563009130662
"sprat",2.30379746835443,"FBiomass",5024566642890.76,0.142563009130662
"sprat",2.30379746835443,"SSB",1182842364546.1,0.142563009130662
"sprat",2.30379746835443,"Yield",1043929799556.4,0.142563009130662
"herring",2.30379746835443,"Biomass",1412151657677.6,0.142563009130662
"herring",2.30379746835443,"FBiomass",5024566642890.76,0.142563009130662
"herring",2.30379746835443,"SSB",628513778509.354,0.142563009130662
